,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.01,0.27,0.8,0.3490658503988659,9.80665,10.0,1.1924999999999857,1.0744,-0.11809999999998566
0,0.001,0.27,0.8,0.3490658503988659,9.80665,10.0,1.089666666666667,1.0744,-0.015266666666666984
0,0.0001,0.27,0.8,0.3490658503988659,9.80665,10.0,1.0815555555545169,1.0744,-0.007155555554516857
0,0.1,0.27,0.9,0.3490658503988659,9.80665,10.0,,1.0744,
0,0.01,0.27,0.9,0.3490658503988659,9.80665,10.0,1.173333333333323,1.0744,-0.09893333333332288
0,0.001,0.27,0.9,0.3490658503988659,9.80665,10.0,1.1048888888888808,1.0744,-0.030488888888880794
0,0.0001,0.27,0.9,0.3490658503988659,9.80665,10.0,1.0935666666656,1.0744,-0.019166666665600074
0,0.1,0.24,0.0,0.3490658503988659,9.80665,10.0,1.2,1.0088,-0.19120000000000004
0,0.01,0.24,0.0,0.3490658503988659,9.80665,10.0,1.0711111111110931,1.0088,-0.06231111111109322
0,0.001,0.24,0.0,0.3490658503988659,9.80665,10.0,0.992299999999994,1.0088,0.016500000000005954
0,0.0001,0.24,0.0,0.3490658503988659,9.80665,10.0,0.9906299999990251,1.0088,0.018170000000974795
0,0.1,0.24,0.1,0.3490658503988659,9.80665,10.0,1.2,1.0088,-0.19120000000000004
0,0.01,0.24,0.1,0.3490658503988659,9.80665,10.0,1.0922222222222038,1.0088,-0.08342222222220386
0,0.001,0.24,0.1,0.3490658503988659,9.80665,10.0,0.9929999999999936,1.0088,0.015800000000006365
0,0.0001,0.24,0.1,0.3490658503988659,9.80665,10.0,0.9912399999990237,1.0088,0.01756000000097624
0,0.1,0.24,0.2,0.3490658503988659,9.80665,10.0,1.2,1.0088,-0.19120000000000004
0,0.01,0.24,0.2,0.3490658503988659,9.80665,10.0,1.0812499999999825,1.0088,-0.07244999999998258
0,0.001,0.24,0.2,0.3490658503988659,9.80665,10.0,0.9943999999999928,1.0088,0.014400000000007074
0,0.0001,0.24,0.2,0.3490658503988659,9.80665,10.0,0.992399999999021,1.0088,0.016400000000978965
0,0.1,0.24,0.3,0.3490658503988659,9.80665,10.0,1.2,1.0088,-0.19120000000000004
0,0.01,0.24,0.3,0.3490658503988659,9.80665,10.0,1.071428571428555,1.0088,-0.06262857142855505
0,0.001,0.24,0.3,0.3490658503988659,9.80665,10.0,0.9966999999999915,1.0088,0.012100000000008437
0,0.0001,0.24,0.3,0.3490658503988659,9.80665,10.0,0.9941999999990168,1.0088,0.01460000000098316
0,0.1,0.24,0.4,0.3490658503988659,9.80665,10.0,1.2,1.0088,-0.19120000000000004
0,0.01,0.24,0.4,0.3490658503988659,9.80665,10.0,1.0616666666666514,1.0088,-0.05286666666665152
0,0.001,0.24,0.4,0.3490658503988659,9.80665,10.0,0.9998999999999898,1.0088,0.008900000000010122
0,0.0001,0.24,0.4,0.3490658503988659,9.80665,10.0,0.9967899999990107,1.0088,0.012010000000989174
0,0.1,0.24,0.5,0.3490658503988659,9.80665,10.0,1.2,1.0088,-0.19120000000000004
0,0.01,0.24,0.5,0.3490658503988659,9.80665,10.0,1.0559999999999863,1.0088,-0.047199999999986364
0,0.001,0.24,0.5,0.3490658503988659,9.80665,10.0,1.0037777777778258,1.0088,0.0050222222221740775
0,0.0001,0.24,0.5,0.3490658503988659,9.80665,10.0,1.0002999999991509,1.0088,0.00850000000084905
0,0.1,0.24,0.6,0.3490658503988659,9.80665,10.0,1.3,1.0088,-0.2912000000000001
0,0.01,0.24,0.6,0.3490658503988659,9.80665,10.0,1.0979999999999854,1.0088,-0.08919999999998551
0,0.001,0.24,0.6,0.3490658503988659,9.80665,10.0,1.0095555555556004,1.0088,-0.0007555555556004734
0,0.0001,0.24,0.6,0.3490658503988659,9.80665,10.0,1.0050444444435842,1.0088,0.003755555556415713
0,0.1,0.24,0.7,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.0088,-0.3912000000000002
0,0.01,0.24,0.7,0.3490658503988659,9.80665,10.0,1.079999999999988,1.0088,-0.07119999999998816
